'Elapsed time';'ECG1';'ECG2'
'3:05:00.000';-0.29;0.075
'3:05:00.004';-0.405;0.07
'3:05:00.008';-0.37;0.08
'3:05:00.012';-0.255;0.095
'3:05:00.016';-0.29;0.075
'3:05:00.020';-0.41;0.05
'3:05:00.024';-0.39;0.07
'3:05:00.028';-0.275;0.07
'3:05:00.032';-0.295;0
'3:05:00.036';-0.4;0.015
'3:05:00.040';-0.435;0.04
'3:05:00.044';-0.31;0.015
'3:05:00.048';-0.285;0
'3:05:00.052';-0.395;-0.015
'3:05:00.056';-0.395;0.02
'3:05:00.060';-0.335;0.05
'3:05:00.064';-0.285;0.045
'3:05:00.068';-0.4;0.06
'3:05:00.072';-0.425;0.075
'3:05:00.076';-0.345;0.075
'3:05:00.080';-0.23;0
'3:05:00.084';-0.36;-0.04
'3:05:00.088';-0.33;0
'3:05:00.092';-0.24;0.02
'3:05:00.096';-0.125;0.01
'3:05:00.100';-0.19;0.035
'3:05:00.104';-0.21;0.055
'3:05:00.108';-0.115;0.07
'3:05:00.112';0.01;0.075
'3:05:00.116';-0.075;0.1
'3:05:00.120';-0.125;0.15
'3:05:00.124';-0.04;0.215
'3:05:00.128';0.055;0.235
'3:05:00.132';-0.045;0.215
'3:05:00.136';-0.15;0.255
'3:05:00.140';-0.155;0.235
'3:05:00.144';-0.105;0.21
'3:05:00.148';-0.19;0.13
'3:05:00.152';-0.31;0.11
'3:05:00.156';-0.27;0.08
'3:05:00.160';-0.18;-0.015
'3:05:00.164';-0.225;-0.06
'3:05:00.168';-0.38;-0.07
'3:05:00.172';-0.4;-0.02
'3:05:00.176';-0.33;-0.055
'3:05:00.180';-0.38;-0.085
'3:05:00.184';-0.5;-0.105
'3:05:00.188';-0.48;-0.065
'3:05:00.192';-0.39;-0.05
'3:05:00.196';-0.44;-0.1
'3:05:00.200';-0.555;-0.05
'3:05:00.204';-0.56;-0.05
'3:05:00.208';-0.445;-0.035
'3:05:00.212';-0.435;-0.075
'3:05:00.216';-0.545;-0.085
'3:05:00.220';-0.55;-0.095
'3:05:00.224';-0.445;-0.085
'3:05:00.228';-0.415;-0.12
'3:05:00.232';-0.56;-0.11
'3:05:00.236';-0.62;-0.085
'3:05:00.240';-0.52;-0.095
'3:05:00.244';-0.35;-0.07
'3:05:00.248';-0.265;0.005
'3:05:00.252';-0.03;0.17
'3:05:00.256';0.42;0.335
'3:05:00.260';0.895;0.395
'3:05:00.264';1.15;0.425
'3:05:00.268';1.28;0.61
'3:05:00.272';1.13;0.475
'3:05:00.276';0.64;-0.11
'3:05:00.280';-0.06;-0.875
'3:05:00.284';-0.6;-1.415
'3:05:00.288';-0.81;-1.77
'3:05:00.292';-0.78;-2.14
'3:05:00.296';-0.765;-2.385
'3:05:00.300';-0.695;-2.445
'3:05:00.304';-0.49;-2.245
'3:05:00.308';-0.31;-1.77
'3:05:00.312';-0.41;-1.26
'3:05:00.316';-0.515;-0.78
'3:05:00.320';-0.42;-0.41
'3:05:00.324';-0.33;-0.2
'3:05:00.328';-0.425;-0.11
'3:05:00.332';-0.5;-0.04
'3:05:00.336';-0.455;0.015
'3:05:00.340';-0.36;0.07
'3:05:00.344';-0.415;0.055
'3:05:00.348';-0.485;0.12
'3:05:00.352';-0.43;0.1
'3:05:00.356';-0.36;0.085
'3:05:00.360';-0.395;0.08
'3:05:00.364';-0.505;0.115
'3:05:00.368';-0.48;0.125
'3:05:00.372';-0.37;0.135
'3:05:00.376';-0.41;0.125
'3:05:00.380';-0.49;0.15
'3:05:00.384';-0.45;0.185
'3:05:00.388';-0.31;0.22
'3:05:00.392';-0.36;0.2
'3:05:00.396';-0.42;0.155
'3:05:00.400';-0.445;0.2
'3:05:00.404';-0.32;0.23
'3:05:00.408';-0.28;0.23
'3:05:00.412';-0.4;0.25
'3:05:00.416';-0.38;0.29
'3:05:00.420';-0.25;0.355
'3:05:00.424';-0.23;0.325
'3:05:00.428';-0.34;0.31
'3:05:00.432';-0.345;0.335
'3:05:00.436';-0.195;0.33
'3:05:00.440';-0.15;0.39
'3:05:00.444';-0.25;0.4
'3:05:00.448';-0.24;0.45
'3:05:00.452';-0.11;0.485
'3:05:00.456';-0.025;0.49
'3:05:00.460';-0.12;0.53
'3:05:00.464';-0.11;0.575
'3:05:00.468';0.025;0.635
'3:05:00.472';0.115;0.645
'3:05:00.476';0.07;0.675
'3:05:00.480';0.055;0.715
'3:05:00.484';0.18;0.78
'3:05:00.488';0.235;0.79
'3:05:00.492';0.2;0.8
'3:05:00.496';0.15;0.855
'3:05:00.500';0.255;0.895
'3:05:00.504';0.305;0.915
'3:05:00.508';0.225;0.88
'3:05:00.512';0.18;0.915
'3:05:00.516';0.27;0.93
'3:05:00.520';0.255;0.935
'3:05:00.524';0.165;0.855
'3:05:00.528';0.02;0.855
'3:05:00.532';0.065;0.83
'3:05:00.536';0.1;0.82
'3:05:00.540';-0.01;0.76
'3:05:00.544';-0.15;0.72
'3:05:00.548';-0.11;0.695
'3:05:00.552';-0.065;0.665
'3:05:00.556';-0.15;0.595
'3:05:00.560';-0.3;0.535
'3:05:00.564';-0.28;0.465
'3:05:00.568';-0.19;0.44
'3:05:00.572';-0.255;0.35
'3:05:00.576';-0.395;0.345
'3:05:00.580';-0.36;0.34
'3:05:00.584';-0.24;0.28
'3:05:00.588';-0.265;0.255
'3:05:00.592';-0.425;0.225
'3:05:00.596';-0.38;0.205
'3:05:00.600';-0.3;0.19
'3:05:00.604';-0.27;0.115
'3:05:00.608';-0.375;0.13
'3:05:00.612';-0.385;0.155
'3:05:00.616';-0.265;0.12
'3:05:00.620';-0.26;0.105
'3:05:00.624';-0.395;0.11
'3:05:00.628';-0.42;0.15
'3:05:00.632';-0.32;0.125
'3:05:00.636';-0.27;0.135
'3:05:00.640';-0.39;0.105
'3:05:00.644';-0.37;0.13
'3:05:00.648';-0.305;0.155
'3:05:00.652';-0.255;0.13
'3:05:00.656';-0.36;0.11
'3:05:00.660';-0.42;0.14
'3:05:00.664';-0.315;0.14
'3:05:00.668';-0.28;0.13
'3:05:00.672';-0.355;0.105
'3:05:00.676';-0.41;0.16
'3:05:00.680';-0.315;0.19
'3:05:00.684';-0.23;0.215
'3:05:00.688';-0.31;0.18
'3:05:00.692';-0.4;0.19
'3:05:00.696';-0.31;0.24
'3:05:00.700';-0.215;0.2
'3:05:00.704';-0.3;0.15
'3:05:00.708';-0.425;0.15
'3:05:00.712';-0.35;0.16
'3:05:00.716';-0.265;0.145
'3:05:00.720';-0.305;0.125
'3:05:00.724';-0.415;0.125
'3:05:00.728';-0.35;0.13
'3:05:00.732';-0.265;0.13
'3:05:00.736';-0.32;0.11
'3:05:00.740';-0.42;0.145
'3:05:00.744';-0.37;0.13
'3:05:00.748';-0.3;0.135
'3:05:00.752';-0.325;0.135
'3:05:00.756';-0.41;0.12
'3:05:00.760';-0.36;0.1
'3:05:00.764';-0.265;0.07
'3:05:00.768';-0.295;0.005
'3:05:00.772';-0.405;0.065
'3:05:00.776';-0.425;0.08
'3:05:00.780';-0.315;0.08
'3:05:00.784';-0.3;0.065
'3:05:00.788';-0.39;0.09
'3:05:00.792';-0.365;0.085
'3:05:00.796';-0.255;0.06
'3:05:00.800';-0.235;0.08
'3:05:00.804';-0.35;0.08
'3:05:00.808';-0.375;0.115
'3:05:00.812';-0.26;0.12
'3:05:00.816';-0.265;0.085
'3:05:00.820';-0.37;0.06
'3:05:00.824';-0.395;0.065
'3:05:00.828';-0.25;0.055
'3:05:00.832';-0.195;0.09
'3:05:00.836';-0.275;0.06
'3:05:00.840';-0.26;0.105
'3:05:00.844';-0.085;0.115
'3:05:00.848';-0.01;0.11
'3:05:00.852';-0.09;0.155
'3:05:00.856';-0.13;0.195
'3:05:00.860';-0.015;0.27
'3:05:00.864';0.025;0.305
'3:05:00.868';-0.075;0.28
'3:05:00.872';-0.135;0.315
'3:05:00.876';-0.09;0.325
'3:05:00.880';-0.05;0.23
'3:05:00.884';-0.19;0.2
'3:05:00.888';-0.275;0.205
'3:05:00.892';-0.175;0.17
'3:05:00.896';-0.155;0.09
'3:05:00.900';-0.2;0.025
'3:05:00.904';-0.32;0
'3:05:00.908';-0.305;0.04
'3:05:00.912';-0.28;-0.005
'3:05:00.916';-0.385;0
'3:05:00.920';-0.485;0.02
'3:05:00.924';-0.425;0.05
'3:05:00.928';-0.35;0.055
'3:05:00.932';-0.405;0
'3:05:00.936';-0.51;-0.01
'3:05:00.940';-0.465;0.025
'3:05:00.944';-0.345;0.01
'3:05:00.948';-0.375;-0.03
'3:05:00.952';-0.49;-0.06
'3:05:00.956';-0.485;-0.025
'3:05:00.960';-0.38;-0.005
'3:05:00.964';-0.4;-0.035
'3:05:00.968';-0.535;-0.035
'3:05:00.972';-0.56;-0.015
'3:05:00.976';-0.48;0
'3:05:00.980';-0.43;0
'3:05:00.984';-0.36;0.05
'3:05:00.988';-0.12;0.15
'3:05:00.992';0.305;0.34
'3:05:00.996';0.735;0.405
'3:05:01.000';1.045;0.435
'3:05:01.004';1.33;0.65
'3:05:01.008';1.385;0.745
'3:05:01.012';0.91;0.34
'3:05:01.016';0.205;-0.39
'3:05:01.020';-0.33;-1
'3:05:01.024';-0.655;-1.385
'3:05:01.028';-0.765;-1.75
'3:05:01.032';-0.83;-2.065
'3:05:01.036';-0.77;-2.155
'3:05:01.040';-0.54;-2.205
'3:05:01.044';-0.345;-2.02
'3:05:01.048';-0.405;-1.47
'3:05:01.052';-0.48;-0.97
'3:05:01.056';-0.43;-0.57
'3:05:01.060';-0.36;-0.28
'3:05:01.064';-0.455;-0.145
'3:05:01.068';-0.525;-0.035
'3:05:01.072';-0.445;0.025
'3:05:01.076';-0.335;0.02
'3:05:01.080';-0.43;0.04
'3:05:01.084';-0.5;0.085
'3:05:01.088';-0.44;0.13
'3:05:01.092';-0.36;0.16
'3:05:01.096';-0.38;0.145
'3:05:01.100';-0.5;0.08
'3:05:01.104';-0.45;0.105
'3:05:01.108';-0.345;0.12
'3:05:01.112';-0.345;0.115
'3:05:01.116';-0.455;0.11
'3:05:01.120';-0.405;0.145
'3:05:01.124';-0.29;0.175
'3:05:01.128';-0.305;0.155
'3:05:01.132';-0.415;0.17
'3:05:01.136';-0.4;0.21
'3:05:01.140';-0.3;0.25
'3:05:01.144';-0.28;0.175
'3:05:01.148';-0.385;0.195
'3:05:01.152';-0.37;0.2
'3:05:01.156';-0.275;0.215
'3:05:01.160';-0.24;0.23
'3:05:01.164';-0.345;0.265
'3:05:01.168';-0.325;0.3
'3:05:01.172';-0.17;0.28
'3:05:01.176';-0.145;0.29
'3:05:01.180';-0.24;0.335
'3:05:01.184';-0.245;0.4
'3:05:01.188';-0.145;0.425
'3:05:01.192';-0.065;0.425
'3:05:01.196';-0.115;0.445
'3:05:01.200';-0.14;0.505
'3:05:01.204';-0.02;0.515
'3:05:01.208';0.1;0.545
'3:05:01.212';0.035;0.59
'3:05:01.216';0.055;0.645
'3:05:01.220';0.165;0.695
'3:05:01.224';0.285;0.72
'3:05:01.228';0.225;0.73
'3:05:01.232';0.175;0.76
'3:05:01.236';0.23;0.815
'3:05:01.240';0.335;0.785
'3:05:01.244';0.265;0.77
'3:05:01.248';0.18;0.765
'3:05:01.252';0.245;0.775
'3:05:01.256';0.3;0.82
'3:05:01.260';0.195;0.85
'3:05:01.264';0.065;0.815
'3:05:01.268';0.095;0.785
'3:05:01.272';0.145;0.73
'3:05:01.276';0.03;0.69
'3:05:01.280';-0.11;0.675
'3:05:01.284';-0.075;0.665
'3:05:01.288';-0.045;0.645
'3:05:01.292';-0.135;0.56
'3:05:01.296';-0.245;0.565
'3:05:01.300';-0.22;0.535
'3:05:01.304';-0.155;0.475
'3:05:01.308';-0.235;0.395
'3:05:01.312';-0.375;0.33
'3:05:01.316';-0.345;0.285
'3:05:01.320';-0.28;0.25
'3:05:01.324';-0.29;0.215
'3:05:01.328';-0.43;0.215
'3:05:01.332';-0.39;0.205
'3:05:01.336';-0.3;0.195
'3:05:01.340';-0.31;0.105
'3:05:01.344';-0.39;0.085
'3:05:01.348';-0.425;0.1
'3:05:01.352';-0.305;0.095
'3:05:01.356';-0.32;0.07
'3:05:01.360';-0.43;0.07
'3:05:01.364';-0.41;0.085
'3:05:01.368';-0.28;0.055
'3:05:01.372';-0.275;0.04
'3:05:01.376';-0.435;0.04
'3:05:01.380';-0.45;0.065
'3:05:01.384';-0.315;0.06
'3:05:01.388';-0.3;0.06
'3:05:01.392';-0.405;0.09
'3:05:01.396';-0.39;0.1
'3:05:01.400';-0.325;0.135
'3:05:01.404';-0.28;0.065
'3:05:01.408';-0.39;0.035
'3:05:01.412';-0.42;0.095
'3:05:01.416';-0.325;0.11
'3:05:01.420';-0.305;0.1
'3:05:01.424';-0.425;0.085
'3:05:01.428';-0.43;0.095
'3:05:01.432';-0.32;0.1
'3:05:01.436';-0.3;0.12
'3:05:01.440';-0.41;0.085
'3:05:01.444';-0.445;0.135
'3:05:01.448';-0.335;0.14
'3:05:01.452';-0.27;0.115
'3:05:01.456';-0.405;0.075
'3:05:01.460';-0.445;0.08
'3:05:01.464';-0.335;0.08
'3:05:01.468';-0.315;0.045
'3:05:01.472';-0.405;0.06
'3:05:01.476';-0.465;0.07
'3:05:01.480';-0.34;0.08
