'Time';'ECG1';'ECG2'
'[20:00:00.000]';-0.24;-0.24
'[20:00:00.004]';-0.26;-0.235
'[20:00:00.008]';-0.24;-0.23
'[20:00:00.012]';-0.23;-0.2
'[20:00:00.016]';-0.235;-0.205
'[20:00:00.020]';-0.23;-0.22
'[20:00:00.024]';-0.23;-0.215
'[20:00:00.028]';-0.225;-0.21
'[20:00:00.032]';-0.225;-0.205
'[20:00:00.036]';-0.225;-0.225
'[20:00:00.040]';-0.21;-0.175
'[20:00:00.044]';-0.195;-0.19
'[20:00:00.048]';-0.215;-0.185
'[20:00:00.052]';-0.255;-0.215
'[20:00:00.056]';-0.235;-0.195
'[20:00:00.060]';-0.205;-0.215
'[20:00:00.064]';-0.24;-0.225
'[20:00:00.068]';-0.26;-0.22
'[20:00:00.072]';-0.26;-0.21
'[20:00:00.076]';-0.255;-0.21
'[20:00:00.080]';-0.25;-0.2
'[20:00:00.084]';-0.27;-0.185
'[20:00:00.088]';-0.26;-0.185
'[20:00:00.092]';-0.26;-0.18
'[20:00:00.096]';-0.27;-0.2
'[20:00:00.100]';-0.285;-0.21
'[20:00:00.104]';-0.28;-0.24
'[20:00:00.108]';-0.26;-0.24
'[20:00:00.112]';-0.255;-0.24
'[20:00:00.116]';-0.23;-0.27
'[20:00:00.120]';-0.235;-0.26
'[20:00:00.124]';-0.23;-0.245
'[20:00:00.128]';-0.265;-0.235
'[20:00:00.132]';-0.245;-0.26
'[20:00:00.136]';-0.22;-0.24
'[20:00:00.140]';-0.26;-0.25
'[20:00:00.144]';-0.26;-0.2
'[20:00:00.148]';-0.27;-0.195
'[20:00:00.152]';-0.255;-0.225
'[20:00:00.156]';-0.245;-0.25
'[20:00:00.160]';-0.24;-0.26
'[20:00:00.164]';-0.24;-0.26
'[20:00:00.168]';-0.24;-0.255
'[20:00:00.172]';-0.21;-0.26
'[20:00:00.176]';-0.23;-0.26
'[20:00:00.180]';-0.23;-0.27
'[20:00:00.184]';-0.24;-0.28
'[20:00:00.188]';-0.245;-0.27
'[20:00:00.192]';-0.25;-0.26
'[20:00:00.196]';-0.27;-0.295
'[20:00:00.200]';-0.255;-0.275
'[20:00:00.204]';-0.26;-0.24
'[20:00:00.208]';-0.26;-0.255
'[20:00:00.212]';-0.24;-0.255
'[20:00:00.216]';-0.27;-0.26
'[20:00:00.220]';-0.26;-0.255
'[20:00:00.224]';-0.245;-0.265
'[20:00:00.228]';-0.23;-0.265
'[20:00:00.232]';-0.245;-0.25
'[20:00:00.236]';-0.255;-0.23
'[20:00:00.240]';-0.26;-0.21
'[20:00:00.244]';-0.24;-0.24
'[20:00:00.248]';-0.26;-0.25
'[20:00:00.252]';-0.245;-0.25
'[20:00:00.256]';-0.23;-0.265
'[20:00:00.260]';-0.25;-0.26
'[20:00:00.264]';-0.23;-0.255
'[20:00:00.268]';-0.2;-0.24
'[20:00:00.272]';-0.25;-0.22
'[20:00:00.276]';-0.24;-0.19
'[20:00:00.280]';-0.235;-0.18
'[20:00:00.284]';-0.255;-0.185
'[20:00:00.288]';-0.255;-0.13
'[20:00:00.292]';-0.25;-0.13
'[20:00:00.296]';-0.245;-0.165
'[20:00:00.300]';-0.225;-0.185
'[20:00:00.304]';-0.25;-0.18
'[20:00:00.308]';-0.23;-0.17
'[20:00:00.312]';-0.22;-0.16
'[20:00:00.316]';-0.22;-0.18
'[20:00:00.320]';-0.22;-0.195
'[20:00:00.324]';-0.22;-0.23
'[20:00:00.328]';-0.28;-0.25
'[20:00:00.332]';-0.27;-0.33
'[20:00:00.336]';-0.235;-0.32
'[20:00:00.340]';-0.255;-0.36
'[20:00:00.344]';-0.255;-0.315
'[20:00:00.348]';-0.25;-0.33
'[20:00:00.352]';-0.24;-0.34
'[20:00:00.356]';-0.28;-0.325
'[20:00:00.360]';-0.275;-0.32
'[20:00:00.364]';-0.255;-0.325
'[20:00:00.368]';-0.26;-0.3
'[20:00:00.372]';-0.265;-0.3
'[20:00:00.376]';-0.26;-0.295
'[20:00:00.380]';-0.25;-0.33
'[20:00:00.384]';-0.275;-0.35
'[20:00:00.388]';-0.25;-0.4
'[20:00:00.392]';-0.265;-0.44
'[20:00:00.396]';-0.295;-0.31
'[20:00:00.400]';-0.27;0.01
'[20:00:00.404]';-0.26;0.525
'[20:00:00.408]';-0.26;1.04
'[20:00:00.412]';-0.245;1.45
'[20:00:00.416]';-0.335;1.555
'[20:00:00.420]';-0.515;1.24
'[20:00:00.424]';-0.715;0.73
'[20:00:00.428]';-0.865;0.125
'[20:00:00.432]';-1.03;-0.4
'[20:00:00.436]';-1.17;-0.88
'[20:00:00.440]';-1.195;-1.125
'[20:00:00.444]';-1.18;-1.155
'[20:00:00.448]';-0.935;-1.04
'[20:00:00.452]';-0.465;-0.885
'[20:00:00.456]';-0.06;-0.665
'[20:00:00.460]';0.1;-0.49
'[20:00:00.464]';0.1;-0.355
'[20:00:00.468]';-0.005;-0.325
'[20:00:00.472]';-0.175;-0.28
'[20:00:00.476]';-0.2;-0.225
'[20:00:00.480]';-0.265;-0.255
